#This is a Karloff instance J(m,m/2,b) with m=6 and b=1
#Optimal Cut Value: 60.00000000000001
#Expected Cut Value: 54.735610317245346
#Ratio of Expected Cut Value to Optimal Cut Value: 0.912260171954089
# [1] Howard Karloff,   “How   good   is   the   Goemans–Williamson MAX-CUT algorithm?” SIAM Journalon Computing 29, 336–350 (1999).
20 90
1 8 1
1 9 1
1 10 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
2 6 1
2 7 1
2 10 1
2 12 1
2 13 1
2 16 1
2 17 1
2 18 1
2 20 1
3 5 1
3 7 1
3 9 1
3 11 1
3 13 1
3 15 1
3 17 1
3 19 1
3 20 1
4 5 1
4 6 1
4 8 1
4 11 1
4 12 1
4 14 1
4 18 1
4 19 1
4 20 1
5 10 1
5 12 1
5 13 1
5 14 1
5 15 1
5 19 1
5 20 1
6 9 1
6 11 1
6 13 1
6 14 1
6 16 1
6 18 1
6 20 1
7 8 1
7 11 1
7 12 1
7 15 1
7 16 1
7 17 1
7 20 1
8 11 1
8 12 1
8 15 1
8 16 1
8 18 1
8 19 1
9 11 1
9 13 1
9 14 1
9 16 1
9 17 1
9 19 1
10 12 1
10 13 1
10 14 1
10 15 1
10 17 1
10 18 1
11 16 1
11 19 1
11 20 1
12 15 1
12 18 1
12 20 1
13 14 1
13 17 1
13 20 1
14 18 1
14 19 1
15 17 1
15 19 1
16 17 1
16 18 1
