112 1680
1 7 1
1 13 1
1 19 1
1 26 1
1 28 1
1 29 1
1 33 1
1 39 1
1 41 1
1 43 1
1 45 1
1 46 1
1 54 1
1 56 1
1 58 1
1 60 1
1 62 1
1 64 1
1 65 1
1 69 1
1 82 1
1 85 1
1 87 1
1 92 1
1 94 1
1 96 1
1 109 1
1 110 1
1 111 1
1 112 1
2 8 1
2 14 1
2 20 1
2 25 1
2 28 1
2 30 1
2 34 1
2 38 1
2 41 1
2 42 1
2 45 1
2 47 1
2 53 1
2 56 1
2 57 1
2 60 1
2 61 1
2 64 1
2 66 1
2 70 1
2 81 1
2 84 1
2 86 1
2 91 1
2 93 1
2 95 1
2 109 1
2 110 1
2 111 1
2 112 1
3 9 1
3 15 1
3 21 1
3 26 1
3 27 1
3 31 1
3 35 1
3 39 1
3 40 1
3 43 1
3 44 1
3 48 1
3 54 1
3 55 1
3 58 1
3 59 1
3 62 1
3 63 1
3 67 1
3 71 1
3 81 1
3 84 1
3 86 1
3 91 1
3 93 1
3 95 1
3 109 1
3 110 1
3 111 1
3 112 1
4 10 1
4 16 1
4 22 1
4 25 1
4 27 1
4 32 1
4 36 1
4 38 1
4 40 1
4 42 1
4 44 1
4 49 1
4 53 1
4 55 1
4 57 1
4 59 1
4 61 1
4 63 1
4 68 1
4 72 1
4 82 1
4 85 1
4 87 1
4 92 1
4 94 1
4 96 1
4 109 1
4 110 1
4 111 1
4 112 1
5 11 1
5 17 1
5 23 1
5 29 1
5 30 1
5 31 1
5 32 1
5 38 1
5 39 1
5 40 1
5 41 1
5 50 1
5 53 1
5 54 1
5 55 1
5 56 1
5 65 1
5 66 1
5 67 1
5 68 1
5 81 1
5 82 1
5 83 1
5 90 1
5 95 1
5 96 1
5 105 1
5 108 1
5 111 1
5 112 1
6 12 1
6 18 1
6 24 1
6 33 1
6 34 1
6 35 1
6 36 1
6 42 1
6 43 1
6 44 1
6 45 1
6 51 1
6 57 1
6 58 1
6 59 1
6 60 1
6 69 1
6 70 1
6 71 1
6 72 1
6 81 1
6 82 1
6 83 1
6 90 1
6 95 1
6 96 1
6 105 1
6 108 1
6 111 1
6 112 1
7 13 1
7 20 1
7 21 1
7 23 1
7 24 1
7 30 1
7 31 1
7 34 1
7 35 1
7 37 1
7 49 1
7 53 1
7 55 1
7 57 1
7 59 1
7 61 1
7 63 1
7 68 1
7 72 1
7 79 1
7 80 1
7 83 1
7 91 1
7 93 1
7 95 1
7 103 1
7 104 1
7 105 1
7 111 1
8 14 1
8 19 1
8 22 1
8 23 1
8 24 1
8 29 1
8 32 1
8 33 1
8 36 1
8 37 1
8 48 1
8 54 1
8 55 1
8 58 1
8 59 1
8 62 1
8 63 1
8 67 1
8 71 1
8 82 1
8 85 1
8 87 1
8 88 1
8 89 1
8 90 1
8 103 1
8 104 1
8 105 1
8 111 1
9 15 1
9 19 1
9 22 1
9 23 1
9 24 1
9 29 1
9 32 1
9 33 1
9 36 1
9 37 1
9 47 1
9 53 1
9 56 1
9 57 1
9 60 1
9 61 1
9 64 1
9 66 1
9 70 1
9 79 1
9 80 1
9 83 1
9 92 1
9 94 1
9 96 1
9 106 1
9 107 1
9 108 1
9 111 1
10 16 1
10 20 1
10 21 1
10 23 1
10 24 1
10 30 1
10 31 1
10 34 1
10 35 1
10 37 1
10 46 1
10 54 1
10 56 1
10 58 1
10 60 1
10 62 1
10 64 1
10 65 1
10 69 1
10 81 1
10 84 1
10 86 1
10 88 1
10 89 1
10 90 1
10 106 1
10 107 1
10 108 1
10 111 1
11 17 1
11 19 1
11 20 1
11 21 1
11 22 1
11 25 1
11 26 1
11 27 1
11 28 1
11 37 1
11 51 1
11 57 1
11 58 1
11 59 1
11 60 1
11 69 1
11 70 1
11 71 1
11 72 1
11 80 1
11 86 1
11 87 1
11 88 1
11 91 1
11 92 1
11 104 1
11 106 1
11 110 1
11 111 1
12 18 1
12 19 1
12 20 1
12 21 1
12 22 1
12 25 1
12 26 1
12 27 1
12 28 1
12 37 1
12 50 1
12 53 1
12 54 1
12 55 1
12 56 1
12 65 1
12 66 1
12 67 1
12 68 1
12 79 1
12 84 1
12 85 1
12 89 1
12 93 1
12 94 1
12 103 1
12 107 1
12 109 1
12 111 1
13 22 1
13 25 1
13 27 1
13 32 1
13 36 1
13 38 1
13 40 1
13 42 1
13 44 1
13 47 1
13 48 1
13 50 1
13 51 1
13 52 1
13 66 1
13 67 1
13 70 1
13 71 1
13 81 1
13 84 1
13 86 1
13 88 1
13 89 1
13 90 1
13 106 1
13 107 1
13 108 1
13 111 1
14 21 1
14 26 1
14 27 1
14 31 1
14 35 1
14 39 1
14 40 1
14 43 1
14 44 1
14 46 1
14 49 1
14 50 1
14 51 1
14 52 1
14 65 1
14 68 1
14 69 1
14 72 1
14 79 1
14 80 1
14 83 1
14 92 1
14 94 1
14 96 1
14 106 1
14 107 1
14 108 1
14 111 1
15 20 1
15 25 1
15 28 1
15 30 1
15 34 1
15 38 1
15 41 1
15 42 1
15 45 1
15 46 1
15 49 1
15 50 1
15 51 1
15 52 1
15 65 1
15 68 1
15 69 1
15 72 1
15 82 1
15 85 1
15 87 1
15 88 1
15 89 1
15 90 1
15 103 1
15 104 1
15 105 1
15 111 1
16 19 1
16 26 1
16 28 1
16 29 1
16 33 1
16 39 1
16 41 1
16 43 1
16 45 1
16 47 1
16 48 1
16 50 1
16 51 1
16 52 1
16 66 1
16 67 1
16 70 1
16 71 1
16 79 1
16 80 1
16 83 1
16 91 1
16 93 1
16 95 1
16 103 1
16 104 1
16 105 1
16 111 1
17 24 1
17 33 1
17 34 1
17 35 1
17 36 1
17 42 1
17 43 1
17 44 1
17 45 1
17 46 1
17 47 1
17 48 1
17 49 1
17 52 1
17 61 1
17 62 1
17 63 1
17 64 1
17 79 1
17 84 1
17 85 1
17 89 1
17 93 1
17 94 1
17 103 1
17 107 1
17 109 1
17 111 1
18 23 1
18 29 1
18 30 1
18 31 1
18 32 1
18 38 1
18 39 1
18 40 1
18 41 1
18 46 1
18 47 1
18 48 1
18 49 1
18 52 1
18 61 1
18 62 1
18 63 1
18 64 1
