64 576
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
2 1 1
2 3 1
2 4 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 33 1
2 34 1
3 1 1
3 2 1
3 4 1
3 35 1
3 36 1
3 37 1
3 38 1
3 39 1
3 40 1
3 41 1
3 42 1
3 43 1
3 44 1
3 45 1
3 46 1
3 47 1
3 48 1
3 49 1
4 1 1
4 2 1
4 3 1
4 50 1
4 51 1
4 52 1
4 53 1
4 54 1
4 55 1
4 56 1
4 57 1
4 58 1
4 59 1
4 60 1
4 61 1
4 62 1
4 63 1
4 64 1
5 1 1
5 6 1
5 7 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 35 1
5 36 1
5 37 1
5 38 1
5 39 1
5 50 1
5 51 1
5 52 1
5 53 1
5 54 1
6 1 1
6 5 1
6 7 1
6 25 1
6 26 1
6 27 1
6 28 1
6 29 1
6 40 1
6 41 1
6 42 1
6 43 1
6 44 1
6 55 1
6 56 1
6 57 1
6 58 1
6 59 1
7 1 1
7 5 1
7 6 1
7 30 1
7 31 1
7 32 1
7 33 1
7 34 1
7 45 1
7 46 1
7 47 1
7 48 1
7 49 1
7 60 1
7 61 1
7 62 1
7 63 1
7 64 1
8 1 1
8 9 1
8 10 1
8 20 1
8 21 1
8 22 1
8 25 1
8 26 1
8 35 1
8 36 1
8 40 1
8 45 1
8 46 1
8 55 1
8 56 1
8 60 1
8 61 1
8 62 1
9 1 1
9 8 1
9 10 1
9 23 1
9 24 1
9 27 1
9 30 1
9 31 1
9 37 1
9 41 1
9 42 1
9 47 1
9 48 1
9 50 1
9 51 1
9 57 1
9 58 1
9 63 1
10 1 1
10 8 1
10 9 1
10 28 1
10 29 1
10 32 1
10 33 1
10 34 1
10 38 1
10 39 1
10 43 1
10 44 1
10 49 1
10 52 1
10 53 1
10 54 1
10 59 1
10 64 1
11 1 1
11 12 1
11 13 1
11 20 1
11 21 1
11 23 1
11 25 1
11 28 1
11 37 1
11 41 1
11 43 1
11 45 1
11 47 1
11 52 1
11 59 1
11 60 1
11 63 1
11 64 1
12 1 1
12 11 1
12 14 1
12 22 1
12 24 1
12 27 1
12 30 1
12 32 1
12 38 1
12 39 1
12 42 1
12 45 1
12 49 1
12 53 1
12 55 1
12 56 1
12 57 1
12 61 1
13 1 1
13 11 1
13 15 1
13 23 1
13 26 1
13 32 1
13 33 1
13 34 1
13 35 1
13 38 1
13 40 1
13 46 1
13 48 1
13 50 1
13 54 1
13 55 1
13 57 1
13 58 1
14 1 1
14 12 1
14 16 1
14 20 1
14 28 1
14 29 1
14 31 1
14 33 1
14 35 1
14 40 1
14 41 1
14 44 1
14 46 1
14 50 1
14 51 1
14 53 1
14 62 1
14 63 1
15 1 1
15 13 1
15 16 1
15 24 1
15 25 1
15 27 1
15 29 1
15 30 1
15 36 1
15 39 1
15 43 1
15 44 1
15 47 1
15 51 1
15 54 1
15 60 1
15 61 1
15 62 1
16 1 1
16 14 1
16 15 1
16 21 1
16 22 1
16 26 1
16 31 1
16 34 1
16 36 1
16 37 1
16 42 1
16 48 1
16 49 1
16 52 1
16 56 1
16 58 1
16 59 1
16 64 1
17 1 1
17 18 1
17 19 1
17 20 1
17 25 1
17 27 1
17 29 1
17 34 1
17 35 1
17 36 1
17 38 1
17 42 1
17 49 1
17 50 1
17 57 1
17 60 1
17 63 1
17 64 1
18 1 1
18 17 1
18 19 1
18 21 1
18 26 1
18 30 1
18 31 1
18 32 1
18 37 1
18 40 1
18 41 1
18 44 1
18 47 1
18 52 1
18 53 1
18 54 1
18 55 1
18 61 1
19 1 1
19 17 1
19 18 1
19 22 1
19 23 1
19 24 1
19 28 1
19 33 1
19 39 1
19 43 1
19 45 1
19 46 1
19 48 1
19 51 1
19 56 1
19 58 1
19 59 1
19 62 1
20 2 1
20 5 1
20 8 1
20 11 1
20 14 1
20 17 1
20 30 1
20 34 1
20 39 1
20 42 1
20 44 1
20 47 1
20 48 1
20 54 1
20 55 1
20 58 1
20 59 1
20 62 1
21 2 1
21 5 1
21 8 1
21 11 1
21 16 1
21 18 1
21 27 1
21 33 1
21 38 1
21 43 1
21 44 1
21 46 1
21 49 1
21 51 1
21 57 1
21 58 1
21 61 1
21 63 1
22 2 1
22 5 1
22 8 1
22 12 1
22 16 1
22 19 1
22 29 1
22 32 1
22 40 1
22 41 1
22 43 1
22 47 1
22 48 1
22 50 1
22 54 1
22 57 1
22 60 1
22 64 1
23 2 1
23 5 1
23 9 1
23 11 1
23 13 1
23 19 1
23 29 1
23 31 1
23 36 1
23 40 1
23 42 1
23 44 1
23 49 1
23 53 1
23 56 1
23 61 1
23 62 1
23 64 1
24 2 1
24 5 1
24 9 1
24 12 1
24 15 1
24 19 1
24 26 1
24 34 1
24 35 1
24 41 1
24 44 1
24 46 1
24 49 1
24 52 1
24 55 1
24 59 1
24 60 1
24 63 1
25 2 1
25 6 1
25 8 1
25 11 1
25 15 1
25 17 1
25 31 1
25 32 1
25 39 1
25 41 1
25 46 1
25 48 1
25 49 1
25 50 1
25 51 1
25 52 1
25 53 1
25 56 1
26 2 1
26 6 1
26 8 1
26 13 1
26 16 1
26 18 1
26 24 1
26 28 1
26 38 1
26 39 1
26 42 1
26 45 1
26 47 1
26 50 1
26 53 1
26 62 1
26 63 1
26 64 1
27 2 1
27 6 1
27 9 1
27 12 1
27 15 1
27 17 1
27 21 1
27 33 1
27 35 1
27 37 1
27 40 1
27 45 1
27 48 1
27 53 1
27 54 1
27 59 1
27 62 1
27 64 1
28 2 1
28 6 1
28 10 1
28 11 1
28 14 1
28 19 1
28 26 1
28 30 1
28 35 1
28 36 1
28 37 1
28 48 1
28 49 1
28 51 1
28 54 1
28 57 1
28 60 1
28 61 1
29 2 1
29 6 1
29 10 1
29 14 1
29 15 1
29 17 1
29 22 1
29 23 1
29 37 1
29 38 1
29 45 1
29 46 1
29 47 1
29 52 1
29 55 1
29 58 1
29 61 1
29 63 1
30 2 1
30 7 1
30 9 1
30 12 1
30 15 1
30 18 1
30 20 1
30 28 1
30 36 1
30 38 1
30 40 1
30 43 1
30 46 1
30 50 1
30 52 1
30 56 1
30 58 1
30 64 1
31 2 1
31 7 1
31 9 1
31 14 1
31 16 1
31 18 1
31 23 1
31 25 1
31 35 1
31 38 1
31 39 1
31 43 1
31 45 1
31 54 1
31 55 1
31 57 1
31 59 1
31 60 1
32 2 1
32 7 1
32 10 1
32 12 1
32 13 1
32 18 1
32 22 1
32 25 1
32 35 1
32 36 1
32 37 1
32 42 1
32 44 1
32 51 1
32 58 1
32 59 1
32 62 1
32 63 1
33 2 1
33 7 1
33 10 1
33 13 1
33 14 1
33 19 1
33 21 1
33 27 1
33 36 1
33 39 1
33 41 1
33 42 1
33 47 1
33 50 1
33 52 1
33 55 1
33 56 1
33 60 1
34 2 1
34 7 1
34 10 1
34 13 1
34 16 1
34 17 1
34 20 1
34 24 1
34 37 1
34 40 1
34 41 1
34 43 1
34 45 1
34 51 1
34 53 1
34 56 1
34 57 1
34 61 1
35 3 1
35 5 1
35 8 1
35 13 1
35 14 1
35 17 1
35 24 1
35 27 1
35 28 1
35 31 1
35 32 1
35 43 1
35 47 1
35 52 1
35 56 1
35 58 1
35 61 1
35 64 1
36 3 1
36 5 1
36 8 1
36 15 1
36 16 1
36 17 1
36 23 1
36 28 1
36 30 1
36 32 1
36 33 1
36 41 1
36 45 1
36 53 1
36 55 1
36 57 1
36 59 1
36 63 1
37 3 1
37 5 1
37 9 1
37 11 1
37 16 1
37 18 1
37 27 1
37 28 1
37 29 1
37 32 1
37 34 1
37 39 1
37 46 1
37 50 1
37 55 1
37 56 1
37 60 1
37 62 1
38 3 1
38 5 1
38 10 1
38 12 1
38 13 1
38 17 1
38 21 1
38 26 1
38 29 1
38 30 1
38 31 1
38 41 1
38 48 1
38 51 1
38 56 1
38 59 1
38 60 1
38 62 1
39 3 1
39 5 1
39 10 1
39 12 1
39 15 1
39 19 1
39 20 1
39 25 1
39 26 1
39 31 1
39 33 1
39 37 1
39 40 1
39 57 1
39 58 1
39 61 1
39 63 1
39 64 1
40 3 1
40 6 1
40 8 1
40 13 1
40 14 1
40 18 1
40 22 1
40 23 1
40 27 1
40 30 1
40 34 1
40 39 1
40 49 1
40 51 1
40 52 1
40 59 1
40 60 1
40 63 1
41 3 1
41 6 1
41 9 1
41 11 1
41 14 1
41 18 1
41 22 1
41 24 1
41 25 1
41 33 1
41 34 1
41 36 1
41 38 1
41 54 1
41 58 1
41 61 1
41 62 1
41 64 1
42 3 1
42 6 1
42 9 1
42 12 1
42 16 1
42 17 1
42 20 1
42 23 1
42 26 1
42 32 1
42 33 1
42 43 1
42 46 1
42 51 1
42 52 1
42 54 1
42 60 1
42 61 1
43 3 1
43 6 1
43 10 1
43 11 1
43 15 1
43 19 1
43 21 1
43 22 1
43 30 1
43 31 1
43 34 1
43 35 1
43 42 1
43 50 1
43 53 1
43 55 1
43 62 1
43 63 1
44 3 1
44 6 1
44 10 1
44 14 1
44 15 1
44 18 1
44 20 1
44 21 1
44 23 1
44 24 1
44 32 1
44 45 1
44 48 1
44 50 1
44 56 1
44 57 1
44 60 1
44 64 1
45 3 1
45 7 1
45 8 1
45 11 1
45 12 1
45 19 1
45 26 1
45 27 1
45 29 1
45 31 1
45 34 1
45 36 1
45 44 1
45 50 1
45 51 1
45 52 1
45 54 1
45 58 1
46 3 1
46 7 1
46 8 1
46 13 1
46 14 1
46 19 1
46 21 1
46 24 1
46 25 1
46 29 1
46 30 1
46 37 1
46 42 1
46 53 1
46 54 1
46 57 1
46 59 1
46 64 1
47 3 1
47 7 1
47 9 1
47 11 1
47 15 1
47 18 1
47 20 1
47 22 1
47 26 1
47 29 1
47 33 1
47 35 1
47 49 1
47 51 1
47 53 1
47 56 1
47 57 1
47 59 1
48 3 1
48 7 1
48 9 1
48 13 1
48 16 1
48 19 1
48 20 1
48 22 1
48 25 1
48 27 1
48 28 1
48 38 1
48 44 1
48 52 1
48 53 1
48 55 1
48 61 1
48 63 1
49 3 1
49 7 1
49 10 1
49 12 1
49 16 1
49 17 1
49 21 1
49 23 1
49 24 1
49 25 1
49 28 1
49 40 1
49 47 1
49 50 1
49 54 1
49 55 1
49 58 1
49 62 1
50 4 1
50 5 1
50 9 1
50 13 1
50 14 1
50 17 1
50 22 1
50 25 1
50 26 1
50 30 1
50 33 1
50 37 1
50 43 1
50 44 1
50 45 1
50 49 1
50 59 1
50 61 1
51 4 1
51 5 1
51 9 1
51 14 1
51 15 1
51 19 1
51 21 1
51 25 1
51 28 1
51 32 1
51 34 1
51 38 1
51 40 1
51 42 1
51 45 1
51 47 1
51 55 1
51 64 1
52 4 1
52 5 1
52 10 1
52 11 1
52 16 1
52 18 1
52 24 1
52 25 1
52 29 1
52 30 1
52 33 1
52 35 1
52 40 1
52 42 1
52 45 1
52 48 1
52 57 1
52 62 1
53 4 1
53 5 1
53 10 1
53 12 1
53 14 1
53 18 1
53 23 1
53 25 1
53 26 1
53 27 1
53 34 1
53 36 1
53 43 1
53 46 1
53 47 1
53 48 1
53 58 1
53 60 1
54 4 1
54 5 1
54 10 1
54 13 1
54 15 1
54 18 1
54 20 1
54 22 1
54 27 1
54 28 1
54 31 1
54 41 1
54 42 1
54 45 1
54 46 1
54 49 1
54 56 1
54 63 1
55 4 1
55 6 1
55 8 1
55 12 1
55 13 1
55 18 1
55 20 1
55 24 1
55 29 1
55 31 1
55 33 1
55 36 1
55 37 1
55 43 1
55 48 1
55 49 1
55 51 1
55 64 1
56 4 1
56 6 1
56 8 1
56 12 1
56 16 1
56 19 1
56 23 1
56 25 1
56 30 1
56 33 1
56 34 1
56 35 1
56 37 1
56 38 1
56 44 1
56 47 1
56 54 1
56 63 1
57 4 1
57 6 1
57 9 1
57 12 1
57 13 1
57 17 1
57 21 1
57 22 1
57 28 1
57 31 1
57 34 1
57 36 1
57 39 1
57 44 1
57 46 1
57 47 1
57 52 1
57 62 1
58 4 1
58 6 1
58 9 1
58 13 1
58 16 1
58 19 1
58 20 1
58 21 1
58 29 1
58 30 1
58 32 1
58 35 1
58 39 1
58 41 1
58 45 1
58 49 1
58 53 1
58 60 1
59 4 1
59 6 1
59 10 1
59 11 1
59 16 1
59 19 1
59 20 1
59 24 1
59 27 1
59 31 1
59 32 1
59 36 1
59 38 1
59 40 1
59 46 1
59 47 1
59 50 1
59 61 1
60 4 1
60 7 1
60 8 1
60 11 1
60 15 1
60 17 1
60 22 1
60 24 1
60 28 1
60 31 1
60 33 1
60 37 1
60 38 1
60 40 1
60 42 1
60 44 1
60 53 1
60 58 1
61 4 1
61 7 1
61 8 1
61 12 1
61 15 1
61 18 1
61 21 1
61 23 1
61 28 1
61 29 1
61 34 1
61 35 1
61 39 1
61 41 1
61 42 1
61 48 1
61 50 1
61 59 1
62 4 1
62 7 1
62 8 1
62 14 1
62 15 1
62 19 1
62 20 1
62 23 1
62 26 1
62 27 1
62 32 1
62 37 1
62 38 1
62 41 1
62 43 1
62 49 1
62 52 1
62 57 1
63 4 1
63 7 1
63 9 1
63 11 1
63 14 1
63 17 1
63 21 1
63 24 1
63 26 1
63 29 1
63 32 1
63 36 1
63 39 1
63 40 1
63 43 1
63 48 1
63 54 1
63 56 1
64 4 1
64 7 1
64 10 1
64 11 1
64 16 1
64 17 1
64 22 1
64 23 1
64 26 1
64 27 1
64 30 1
64 35 1
64 39 1
64 41 1
64 44 1
64 46 1
64 51 1
64 55 1
