# NAME: ising2.5-300_6666
# COMMENT: biqmac_all/mac/ising data set
# These are instances in the MQLIB instance library [2] where no heuristic was able to achieve 99.9% of the optimal solution within 5% of the alloted runtime. Most of these instances have a combination of positive and negative weighted-edges with weights with very large magnitude can appear but with vanishingly small frequency.
# [2] Iain Dunning, Swati Gupta, and John Silberholz. 2018. What works best when? A systematic evaluation of heuristics for Max-Cut and QUBO. INFORMS Journal on Computing 30, 3 (2018), 608–624.
300 44850
1 2 -87041
1 3 2371
1 4 2937
1 5 2202
1 6 2313
1 7 -837
1 8 -238
1 9 -412
1 10 -59
1 11 -107
1 12 -248
1 13 -85
1 14 -198
1 15 32
1 16 -53
1 17 -76
1 18 -36
1 19 99
1 20 53
1 21 16
1 22 -31
1 23 28
1 24 -61
1 25 9
1 26 17
1 27 2
1 28 8
1 29 7
1 30 -1
1 31 -5
1 32 -20
1 33 -8
1 34 6
1 35 13
1 36 5
1 37 11
1 38 -2
1 39 -20
1 40 1
1 41 -3
1 42 2
1 43 -5
1 44 -2
1 45 0
1 46 -1
1 47 -5
1 48 -5
1 49 7
1 50 -3
1 51 -1
1 52 -3
1 53 -2
1 54 5
1 55 -1
1 56 0
1 57 0
1 58 0
1 59 4
1 60 2
1 61 1
1 62 4
1 63 0
1 64 4
1 65 0
1 66 3
1 67 2
1 68 0
1 69 1
1 70 0
1 71 4
1 72 -1
1 73 -2
1 74 -3
1 75 -3
1 76 0
1 77 1
1 78 -1
1 79 -3
1 80 -2
1 81 1
1 82 -1
1 83 2
1 84 -1
1 85 2
1 86 2
1 87 2
1 88 -1
1 89 -3
1 90 -1
1 91 0
1 92 1
1 93 -1
1 94 0
1 95 0
1 96 1
1 97 -1
1 98 -1
1 99 -1
1 100 0
1 101 1
1 102 -2
1 103 0
1 104 1
1 105 1
1 106 0
1 107 1
1 108 0
1 109 0
1 110 0
1 111 1
1 112 0
1 113 1
1 114 0
1 115 -1
1 116 0
1 117 -1
1 118 0
1 119 0
1 120 0
1 121 -1
1 122 0
1 123 1
1 124 1
1 125 0
1 126 1
1 127 2
1 128 1
1 129 0
1 130 0
1 131 -1
1 132 0
1 133 -1
1 134 0
1 135 0
1 136 0
1 137 -1
1 138 1
1 139 1
1 140 0
1 141 0
1 142 -1
1 143 0
1 144 -2
1 145 1
1 146 0
1 147 0
1 148 1
1 149 0
1 150 0
1 151 0
1 152 0
1 153 0
1 154 0
1 155 1
1 156 -2
1 157 0
1 158 1
1 159 1
1 160 1
1 161 0
1 162 0
1 163 1
1 164 0
1 165 0
1 166 0
1 167 0
1 168 1
1 169 1
1 170 0
1 171 0
1 172 -1
1 173 0
1 174 1
1 175 0
1 176 -1
1 177 0
1 178 0
1 179 -2
1 180 1
1 181 0
1 182 1
1 183 1
1 184 2
1 185 0
1 186 0
1 187 0
1 188 0
1 189 0
1 190 -1
1 191 1
1 192 1
1 193 -1
1 194 0
1 195 0
1 196 -2
1 197 0
1 198 0
1 199 0
1 200 -1
1 201 -1
1 202 -1
1 203 0
1 204 -1
1 205 -1
1 206 0
1 207 2
1 208 1
1 209 1
1 210 1
1 211 -1
1 212 -2
1 213 2
1 214 -1
1 215 2
1 216 1
1 217 1
1 218 -3
1 219 2
1 220 0
1 221 -2
1 222 -4
1 223 -2
1 224 5
1 225 0
1 226 3
1 227 4
1 228 -1
1 229 4
1 230 0
1 231 2
1 232 0
1 233 0
1 234 1
1 235 -3
1 236 -2
1 237 -6
1 238 -1
1 239 -1
1 240 0
1 241 2
1 242 3
1 243 -3
1 244 6
1 245 2
1 246 2
1 247 -3
1 248 0
1 249 0
1 250 5
1 251 4
1 252 2
1 253 3
1 254 0
1 255 3
1 256 3
1 257 11
1 258 8
1 259 12
1 260 3
1 261 13
1 262 -1
1 263 8
1 264 3
1 265 -10
1 266 -4
1 267 -4
1 268 31
1 269 16
1 270 15
1 271 -8
1 272 8
1 273 9
1 274 3
1 275 2
1 276 0
1 277 -34
1 278 34
1 279 28
1 280 8
1 281 41
1 282 -1
1 283 -20
1 284 57
1 285 -36
1 286 -96
1 287 15
1 288 -81
1 289 49
1 290 41
1 291 -72
1 292 75
1 293 929
1 294 -209
1 295 -183
1 296 -1261
1 297 254
1 298 4500
1 299 -27206
1 300 -21174
2 3 93493
2 4 14349
2 5 -1943
2 6 4686
2 7 286
2 8 -728
2 9 -105
2 10 -68
2 11 -50
2 12 -105
2 13 -375
2 14 -149
2 15 154
2 16 -19
2 17 74
2 18 -115
2 19 123
2 20 -25
2 21 -1
2 22 -14
2 23 -30
2 24 10
2 25 2
2 26 -30
2 27 -28
2 28 38
2 29 14
2 30 -33
2 31 24
2 32 16
2 33 19
2 34 6
2 35 0
2 36 13
2 37 -5
2 38 -9
2 39 5
2 40 -13
2 41 11
2 42 -5
2 43 4
2 44 -4
2 45 16
2 46 4
2 47 -5
2 48 -7
2 49 -1
2 50 0
2 51 5
2 52 9
2 53 -1
2 54 6
2 55 7
2 56 3
2 57 -1
2 58 1
2 59 1
2 60 -2
2 61 -6
2 62 1
2 63 -1
2 64 2
2 65 1
2 66 2
2 67 0
2 68 2
2 69 -1
2 70 -2
2 71 0
2 72 -2
2 73 0
2 74 2
2 75 2
2 76 1
2 77 -1
2 78 2
2 79 -2
2 80 -4
2 81 0
2 82 -2
2 83 -1
2 84 1
2 85 -2
2 86 -2
2 87 1
2 88 -2
2 89 1
2 90 0
2 91 1
2 92 1
2 93 -1
2 94 1
2 95 1
2 96 1
2 97 0
2 98 -1
2 99 -1
2 100 0
2 101 0
2 102 0
2 103 -1
2 104 1
2 105 -2
2 106 0
2 107 -1
2 108 0
2 109 0
2 110 0
2 111 0
2 112 2
2 113 0
2 114 1
2 115 1
2 116 2
2 117 -1
2 118 -1
2 119 -1
2 120 1
2 121 -1
2 122 0
2 123 1
2 124 1
2 125 0
2 126 -1
2 127 0
2 128 0
2 129 -1
2 130 0
2 131 0
2 132 1
2 133 0
2 134 -1
2 135 0
2 136 -1
2 137 0
2 138 2
2 139 1
2 140 0
2 141 0
