# NAME: kroB150fst.
# COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    "kroB150fst", Creator "Martin Zachariasen, David Warme", Remark  "Reduced rectilinear graph from FST generator GeoSteiner", End
# These are instances in the MQLIB instance library [2] where no heuristic was able to achieve 99.9% of the optimal solution within 5% of the alloted runtime. Most of these instances have a combination of positive and negative weighted-edges with weights with very large magnitude can appear but with vanishingly small frequency.
# [2] Iain Dunning, Swati Gupta, and John Silberholz. 2018. What works best when? A systematic evaluation of heuristics for Max-Cut and QUBO. INFORMS Journal on Computing 30, 3 (2018), 608–624.
420 619
131 151 51
87 164 233
139 151 58
151 152 39
118 155 41
152 153 64
153 154 150
154 157 95
129 154 182
73 155 89
3 73 22
136 170 195
136 158 196
122 161 43
121 156 21
121 152 74
76 157 150
76 188 207
76 156 64
76 153 95
97 158 84
97 144 157
159 160 138
159 167 102
160 161 3
160 168 102
21 162 25
21 161 74
111 156 32
59 165 94
59 155 107
162 163 203
162 169 77
163 186 166
70 187 166
70 163 211
70 111 54
96 164 165
150 215 195
150 164 47
81 175 52
81 97 170
81 158 86
165 166 181
165 180 89
165 174 216
166 181 89
89 167 140
89 182 89
89 166 172
89 159 242
167 168 138
167 183 89
168 169 77
168 184 89
169 185 89
170 171 14
100 172 4
100 170 37
171 172 47
172 173 98
172 176 10
69 174 258
69 178 73
69 173 352
174 179 73
33 176 47
33 175 101
33 171 10
176 177 126
45 219 278
45 175 34
177 200 45
74 201 45
74 177 27
74 173 65
94 190 2
94 123 21
94 157 205
178 179 258
178 203 37
179 180 200
179 204 37
180 181 181
180 205 37
181 182 172
181 191 28
182 183 140
182 192 28
183 184 138
183 193 28
184 185 77
184 194 28
185 186 203
185 195 28
186 187 211
186 196 28
187 188 109
187 198 28
188 189 25
123 190 19
123 199 28
123 189 106
190 217 111
191 192 172
192 193 140
192 206 9
193 194 138
193 209 27
194 195 77
194 210 27
195 196 203
195 211 27
196 197 2
197 198 209
197 212 27
91 199 106
91 198 134
91 189 28
199 217 102
200 201 27
201 202 39
202 203 313
203 204 258
204 205 200
41 206 172
41 229 241
41 205 181
41 191 9
206 208 18
207 213 29
