# NAME: i640-201.
# COMMENT: SECTION Comment, Name "i640-201-PCST", Creator "Indaco Biazzo" , Remark "derived from Incidence graph by Cees Duin"
# These are instances in the MQLIB instance library [2] where no heuristic was able to achieve 99.9% of the optimal solution within 5% of the alloted runtime. Most of these instances have a combination of positive and negative weighted-edges with weights with very large magnitude can appear but with vanishingly small frequency.
# [2] Iain Dunning, Swati Gupta, and John Silberholz. 2018. What works best when? A systematic evaluation of heuristics for Max-Cut and QUBO. INFORMS Journal on Computing 30, 3 (2018), 608–624.
640 960
1 24 297
1 48 309
1 136 195
1 202 206
1 383 205
1 418 203
1 517 195
2 613 206
3 543 208
3 627 201
4 308 196
4 445 194
5 397 192
5 597 200
6 166 197
6 177 195
6 181 199
6 362 210
6 445 196
7 23 301
7 99 195
7 536 190
7 567 193
8 105 208
8 324 205
8 336 198
8 480 201
8 488 201
9 306 202
9 369 194
9 481 200
9 497 194
9 558 198
10 56 203
10 148 201
10 228 201
10 253 195
10 276 208
10 364 192
10 614 195
10 618 203
11 22 294
11 56 188
11 128 200
11 129 201
11 241 201
11 300 207
11 307 209
11 455 203
12 185 200
12 313 195
12 609 199
13 357 201
13 396 204
14 161 204
14 282 197
15 563 201
15 606 199
16 84 211
16 230 192
16 374 194
16 542 205
17 102 200
17 361 202
17 567 198
17 621 200
18 166 195
18 455 194
18 528 202
19 217 207
20 141 201
20 521 201
21 73 198
21 204 204
21 213 191
21 299 199
22 42 290
22 77 195
22 409 192
22 474 201
23 260 203
23 540 202
24 70 204
24 71 204
25 219 198
25 467 214
26 365 205
26 484 209
27 241 206
27 613 190
28 45 288
28 310 203
29 293 195
29 363 194
29 423 210
30 264 200
30 429 201
31 67 201
31 134 191
31 233 202
31 254 200
31 311 192
31 586 195
31 597 209
32 129 194
32 250 195
33 91 197
34 551 196
35 63 192
35 372 197
35 531 197
35 541 202
35 619 196
36 56 194
36 71 211
36 198 202
36 428 197
36 490 193
36 620 196
37 170 200
37 400 205
37 452 201
37 618 204
38 489 203
38 496 191
39 590 204
40 306 204
40 354 196
41 219 201
41 311 196
41 380 200
42 57 202
42 316 203
43 213 199
43 242 196
44 93 197
46 52 203
46 344 202
46 390 196
47 52 206
47 409 204
47 581 195
48 160 203
48 484 205
49 545 207
50 204 201
50 208 209
50 331 195
50 527 205
51 94 107
51 609 104
52 142 99
52 257 103
52 489 104
52 509 107
53 129 102
53 145 98
53 155 97
53 270 98
53 479 104
54 233 102
54 424 103
54 533 99
55 240 100
55 314 101
56 69 95
56 70 105
56 76 101
56 97 97
56 141 93
56 159 95
56 310 98
56 347 95
57 146 95
57 364 98
58 335 99
58 567 107
59 165 93
60 558 98
61 217 110
61 228 98
61 309 93
62 80 99
62 181 110
62 334 109
63 100 96
63 373 92
63 513 99
63 558 105
64 86 97
64 333 94
64 494 106
65 469 92
65 615 106
66 621 100
67 103 101
67 341 97
67 439 103
68 628 102
68 629 93
69 430 101
70 81 105
70 106 104
70 157 104
70 242 85
70 270 97
70 340 102
70 415 109
70 418 107
70 480 95
70 583 101
70 597 98
71 307 104
71 482 107
71 539 100
72 136 105
72 139 99
72 255 99
72 422 90
72 471 97
73 132 97
73 166 96
73 279 99
73 281 92
73 283 94
73 284 92
73 447 103
73 533 100
74 125 98
75 345 99
75 571 97
76 179 105
76 484 101
76 559 102
77 296 104
78 172 102
78 231 100
78 306 98
78 539 98
79 404 99
80 81 106
80 168 103
80 531 100
81 566 96
82 357 98
82 539 107
83 166 101
83 427 107
83 538 104
83 615 95
83 630 103
85 174 95
85 270 101
86 113 98
87 362 105
87 412 89
87 473 106
87 510 104
88 213 100
88 220 102
89 372 96
90 117 106
90 218 94
90 228 102
90 342 106
90 437 104
91 128 104
91 403 102
91 493 89
91 533 97
92 167 102
92 379 97
92 434 98
93 215 100
93 218 92
93 527 103
93 627 95
94 210 93
94 300 109
94 309 98
94 587 105
94 612 105
95 151 106
96 486 103
96 607 103
97 139 99
97 184 102
97 325 98
97 366 96
98 250 100
98 314 97
98 329 104
98 338 95
99 394 94
99 532 97
100 207 94
100 360 94
100 572 97
100 597 98
100 631 107
101 288 101
101 355 94
104 164 100
104 433 98
105 428 106
106 347 108
106 397 88
106 519 98
107 114 97
108 170 94
109 412 90
109 551 102
109 587 100
110 206 98
110 221 101
110 293 91
110 491 101
111 277 101
111 398 101
111 454 90
111 541 98
112 161 91
112 375 94
113 578 100
114 284 100
114 443 97
114 501 97
115 565 105
115 613 96
116 195 91
116 506 101
117 556 105
118 208 101
118 399 101
118 500 97
119 121 94
119 364 111
120 391 93
120 496 91
121 231 103
121 403 98
121 466 93
121 502 99
121 620 94
122 417 101
123 125 92
124 152 99
124 439 99
125 237 107
125 401 101
125 463 105
126 236 103
126 259 106
126 300 95
126 501 105
126 629 95
127 605 98
128 201 105
128 224 97
128 252 99
128 445 107
128 449 102
128 611 100
130 150 95
130 375 98
130 412 97
130 600 101
131 133 101
