#Connected Erdos-Renyi graph with p chosen uniformly from [0,1]
#p=0.7923490122804207
#Edge Weights: Uniform from {1,2,...,9,10}
# These are the instances of up to 19 nodes that were used in our paper "Bridging  classical and quantum with SDP initialized warm-starts for QAOA" [3]. The precise details for how these instances were constructed can be found in [3].
# [3]  Reuben Tate, Majid Farhadi, Creston Herold, Greg Mohler,and  Swati  Gupta,  “Bridging  classical and quantum with SDP initialized warm-starts for QAOA,” arXiv preprint arXiv:2010.14021  (2020).
19 136
1 2 7
1 3 4
1 4 3
1 5 5
1 6 1
1 7 4
1 8 6
1 10 2
1 11 1
1 12 1
1 13 9
1 14 2
1 18 3
1 19 6
2 3 2
2 4 6
2 7 6
2 8 3
2 10 2
2 11 7
2 12 10
2 13 3
2 14 7
2 15 1
2 16 8
2 17 5
2 18 8
2 19 8
3 4 1
3 5 7
3 6 2
3 8 1
3 9 2
3 10 8
3 11 3
3 12 1
3 13 4
3 15 7
3 16 1
3 17 8
4 5 2
4 8 5
4 9 2
4 10 4
4 11 6
4 12 4
4 14 4
4 15 1
4 16 3
4 17 10
4 19 2
5 6 6
5 7 5
5 8 3
5 10 9
5 11 2
5 12 8
5 13 8
5 14 4
5 16 3
5 17 1
5 18 10
5 19 5
6 8 9
6 10 1
6 11 3
6 12 2
6 13 3
6 14 7
6 15 4
6 16 2
6 17 4
6 18 9
7 8 1
7 9 8
7 10 5
7 11 5
7 12 9
7 14 2
7 15 1
7 16 9
7 17 4
7 19 5
8 9 4
8 10 3
8 11 4
8 12 10
8 13 2
8 15 5
8 16 4
8 18 1
9 10 3
9 11 5
9 12 8
9 14 9
9 15 3
9 16 10
9 17 4
9 18 7
9 19 8
10 11 5
10 12 9
10 13 5
10 14 8
10 15 7
10 16 9
10 17 3
11 13 6
11 14 1
11 16 2
11 17 6
11 18 7
11 19 5
12 13 8
12 14 6
12 15 5
12 17 1
12 18 2
12 19 7
13 14 8
13 15 7
13 17 7
13 18 8
13 19 10
14 15 8
14 16 9
14 17 5
14 18 10
14 19 1
15 16 9
15 17 2
15 18 2
15 19 9
16 19 7
17 18 1
17 19 6
