#Connected Newman Watts Strogatz Graph where each node is connected to k nearest nodes. Probability of rewiring each edge is p.
#See: https://networkx.org/documentation/stable/reference/generated/networkx.generators.random_graphs.newman_watts_strogatz_graph.html
#k=6
#p=0.49168572988582726
#Edge Weights: Uniform from {1,2,...,9,10}
# These are the instances of up to 19 nodes that were used in our paper "Bridging  classical and quantum with SDP initialized warm-starts for QAOA" [3]. The precise details for how these instances were constructed can be found in [3].
# [3]  Reuben Tate, Majid Farhadi, Creston Herold, Greg Mohler,and  Swati  Gupta,  “Bridging  classical and quantum with SDP initialized warm-starts for QAOA,” arXiv preprint arXiv:2010.14021  (2020).
19 89
1 2 9
1 19 7
1 3 1
1 18 6
1 4 8
1 17 4
1 16 8
1 14 7
1 11 6
1 9 5
1 7 7
2 3 3
2 4 5
2 19 1
2 5 6
2 18 10
2 9 4
2 17 1
2 6 5
2 8 10
2 7 8
2 10 10
2 16 10
3 4 10
3 5 3
3 6 8
3 19 8
4 5 10
4 6 6
4 7 4
4 14 2
4 10 7
4 11 9
4 8 6
5 6 2
5 7 9
5 8 8
5 17 5
5 12 5
6 7 1
6 8 4
6 9 2
6 16 1
6 12 4
6 14 8
7 8 2
7 9 3
7 10 1
7 14 5
7 13 5
7 15 8
7 16 10
7 17 6
8 9 2
8 10 9
8 11 4
8 13 6
9 10 7
9 11 1
9 12 6
9 17 2
9 15 5
10 11 4
10 12 1
10 13 3
10 14 10
10 18 8
11 12 10
11 13 3
11 14 10
11 19 6
12 13 8
12 14 2
12 15 9
13 14 9
13 15 9
13 16 2
14 15 9
14 16 4
14 17 1
15 16 1
15 17 10
15 18 8
16 17 6
16 18 3
16 19 9
17 18 9
17 19 6
18 19 7
