#Connected Erdos-Renyi graph with p chosen uniformly from [0,1]
#p=0.4821076284154493
#Edge Weights: For positive integers k, we have an edge weight of +2^k with probability 2^(-k-1) and an edge weight of -2^k with probability 2^(-k-1)
# These are the instances of up to 19 nodes that were used in our paper "Bridging  classical and quantum with SDP initialized warm-starts for QAOA" [3]. The precise details for how these instances were constructed can be found in [3].
# [3]  Reuben Tate, Majid Farhadi, Creston Herold, Greg Mohler,and  Swati  Gupta,  “Bridging  classical and quantum with SDP initialized warm-starts for QAOA,” arXiv preprint arXiv:2010.14021  (2020).
17 71
1 2 1
1 3 -4
1 4 8
1 5 -8
1 7 2
1 8 1
1 10 2
1 15 -2
1 17 2
2 3 -1
2 5 1
2 6 -4
2 9 1
2 10 -8
2 12 -4
2 13 -1
2 17 -4
3 5 -1
3 7 -1
3 8 1
3 9 1
3 11 1
3 12 -4
3 13 2
4 5 -1
4 7 -2
4 10 2
4 12 -8
4 13 -1
4 17 2
5 8 1
5 9 16
5 11 2
5 12 2
5 14 1
5 17 -2
6 10 1
6 12 -2
6 13 1
6 15 8
6 16 -2
6 17 -1
7 8 2
7 11 -2
7 12 -1
7 16 16
7 17 1
8 9 2
8 11 -8
8 13 1
8 14 -4
8 15 -1
8 16 1
8 17 -1
9 12 4
9 15 -1
9 17 -1
10 12 -1
10 16 -2
10 17 2
11 12 -4
11 13 -8
11 14 2
11 15 -64
12 13 4
12 16 -1
12 17 2
13 15 2
13 16 -1
14 15 2
15 16 1
