#Connected random regular graph with degree chosen uniformly from valid degrees
#Uses algorithm from Kim and Vu. See: https://networkx.org/documentation/stable/reference/generated/networkx.generators.random_graphs.random_regular_graph.html
#d=10
#Edge Weights: Unit
# These are the instances of up to 19 nodes that were used in our paper "Bridging  classical and quantum with SDP initialized warm-starts for QAOA" [3]. The precise details for how these instances were constructed can be found in [3].
# [3]  Reuben Tate, Majid Farhadi, Creston Herold, Greg Mohler,and  Swati  Gupta,  “Bridging  classical and quantum with SDP initialized warm-starts for QAOA,” arXiv preprint arXiv:2010.14021  (2020).
15 75
6 10 1
6 9 1
6 13 1
6 2 1
6 12 1
6 1 1
6 4 1
6 11 1
6 8 1
6 15 1
10 7 1
10 9 1
10 5 1
10 3 1
10 12 1
10 15 1
10 4 1
10 14 1
10 1 1
7 2 1
7 15 1
7 8 1
7 11 1
7 4 1
7 12 1
7 13 1
7 5 1
7 1 1
5 8 1
5 9 1
5 3 1
5 14 1
5 11 1
5 15 1
5 2 1
5 12 1
8 1 1
8 4 1
8 12 1
8 3 1
8 14 1
8 2 1
8 9 1
2 4 1
2 12 1
2 3 1
2 11 1
2 13 1
2 9 1
4 11 1
4 14 1
4 3 1
4 13 1
4 9 1
9 15 1
9 11 1
9 1 1
9 13 1
1 11 1
1 12 1
1 13 1
1 14 1
1 3 1
11 13 1
11 14 1
11 15 1
3 13 1
3 14 1
3 15 1
3 12 1
13 14 1
13 15 1
12 15 1
12 14 1
15 14 1
