# NAME: a40_Siberian
# COMMENT: http://www.dharwadker.org/tevet/isomorphism/main.html, nonisomorphic Siberian
# These are graphs in the MQLIB instance library [2] all have a 0.912 approximation ratio with respect to GW. For these instances, the optimal cut is also always 2/3 of the total number of edges.
# [2] Iain Dunning, Swati Gupta, and John Silberholz. 2018. What works best when? A systematic evaluation of heuristics for Max-Cut and QUBO. INFORMS Journal on Computing 30, 3 (2018), 608–624.
40 240
1 6 1
1 10 1
1 11 1
1 16 1
1 23 1
1 29 1
1 30 1
1 34 1
1 35 1
1 37 1
1 39 1
1 40 1
2 3 1
2 7 1
2 11 1
2 15 1
2 17 1
2 21 1
2 24 1
2 32 1
2 36 1
2 37 1
2 39 1
2 40 1
3 5 1
3 9 1
3 16 1
3 21 1
3 22 1
3 26 1
3 27 1
3 29 1
3 31 1
3 34 1
3 40 1
4 6 1
4 12 1
4 17 1
4 22 1
4 23 1
4 24 1
4 26 1
4 27 1
4 30 1
4 32 1
4 38 1
4 40 1
5 8 1
5 11 1
5 15 1
5 23 1
5 26 1
5 28 1
5 29 1
5 32 1
5 33 1
5 35 1
5 38 1
6 9 1
6 20 1
6 21 1
6 27 1
6 28 1
6 29 1
6 32 1
6 33 1
6 36 1
6 39 1
7 10 1
7 12 1
7 18 1
7 22 1
7 28 1
7 29 1
7 30 1
7 31 1
7 32 1
7 33 1
7 37 1
8 12 1
8 13 1
8 14 1
8 16 1
8 21 1
8 22 1
8 30 1
8 32 1
8 35 1
8 36 1
8 39 1
9 14 1
9 17 1
9 18 1
9 22 1
9 28 1
9 34 1
9 35 1
9 36 1
9 37 1
9 38 1
10 14 1
10 15 1
10 22 1
10 25 1
10 26 1
10 27 1
10 33 1
10 35 1
10 36 1
10 40 1
11 13 1
11 18 1
11 24 1
11 27 1
11 30 1
11 33 1
11 34 1
11 36 1
11 38 1
12 15 1
12 16 1
12 18 1
12 20 1
12 29 1
12 34 1
12 36 1
12 38 1
12 40 1
13 18 1
13 19 1
13 20 1
13 22 1
13 26 1
13 27 1
13 28 1
13 37 1
13 39 1
13 40 1
14 15 1
14 19 1
14 21 1
14 24 1
14 27 1
14 29 1
14 30 1
14 37 1
14 38 1
15 17 1
15 20 1
15 23 1
15 27 1
15 28 1
15 34 1
15 39 1
16 17 1
16 19 1
16 23 1
16 27 1
16 31 1
16 33 1
16 36 1
16 37 1
17 18 1
17 19 1
17 26 1
17 30 1
17 33 1
17 35 1
17 39 1
18 21 1
18 23 1
18 25 1
18 27 1
18 29 1
18 35 1
19 24 1
19 25 1
19 28 1
19 29 1
19 32 1
19 33 1
19 34 1
19 40 1
20 21 1
20 24 1
20 26 1
20 31 1
20 33 1
20 34 1
20 35 1
20 37 1
21 23 1
21 25 1
21 30 1
21 33 1
21 40 1
22 23 1
22 24 1
22 33 1
22 34 1
22 39 1
23 24 1
23 25 1
23 28 1
23 37 1
24 29 1
24 31 1
24 35 1
24 36 1
25 26 1
25 31 1
25 32 1
25 34 1
25 36 1
25 38 1
25 39 1
26 29 1
26 30 1
26 36 1
26 37 1
27 31 1
27 32 1
28 30 1
28 31 1
28 36 1
28 40 1
29 39 1
30 31 1
30 34 1
31 35 1
31 38 1
31 39 1
32 34 1
32 35 1
32 37 1
33 38 1
35 40 1
37 38 1
38 39 1
38 40 1
