# NAME: p26
# COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm
# These are graphs in the MQLIB instance library [2] all have a 0.912 approximation ratio with respect to GW. For these instances, the optimal cut is also always 2/3 of the total number of edges.
# [2] Iain Dunning, Swati Gupta, and John Silberholz. 2018. What works best when? A systematic evaluation of heuristics for Max-Cut and QUBO. INFORMS Journal on Computing 30, 3 (2018), 608–624.
64 576
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
2 3 1
2 4 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 33 1
2 34 1
3 4 1
3 35 1
3 36 1
3 37 1
3 38 1
3 39 1
3 40 1
3 41 1
3 42 1
3 43 1
3 44 1
3 45 1
3 46 1
3 47 1
3 48 1
3 49 1
4 50 1
4 51 1
4 52 1
4 53 1
4 54 1
4 55 1
4 56 1
4 57 1
4 58 1
4 59 1
4 60 1
4 61 1
4 62 1
4 63 1
4 64 1
5 6 1
5 7 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 35 1
5 36 1
5 37 1
5 38 1
5 39 1
5 50 1
5 51 1
5 52 1
5 53 1
5 54 1
6 7 1
6 25 1
6 26 1
6 27 1
6 28 1
6 29 1
6 40 1
6 41 1
6 42 1
6 43 1
6 44 1
6 55 1
6 56 1
6 57 1
6 58 1
6 59 1
7 30 1
7 31 1
7 32 1
7 33 1
7 34 1
7 45 1
7 46 1
7 47 1
7 48 1
7 49 1
7 60 1
7 61 1
7 62 1
7 63 1
7 64 1
8 9 1
8 10 1
8 20 1
8 21 1
8 22 1
8 25 1
8 30 1
8 35 1
8 40 1
8 41 1
8 42 1
8 45 1
8 50 1
8 55 1
8 60 1
8 61 1
8 62 1
9 11 1
9 23 1
9 25 1
9 31 1
9 32 1
9 33 1
9 36 1
9 37 1
9 38 1
9 43 1
9 46 1
9 51 1
9 56 1
9 57 1
9 58 1
9 63 1
10 12 1
10 24 1
10 26 1
10 27 1
10 28 1
10 30 1
10 36 1
10 44 1
10 46 1
10 47 1
10 48 1
10 51 1
10 52 1
10 53 1
10 56 1
10 64 1
11 13 1
11 20 1
11 26 1
11 27 1
11 28 1
11 34 1
11 39 1
11 40 1
11 45 1
11 47 1
11 49 1
11 50 1
11 52 1
11 54 1
11 59 1
11 63 1
12 13 1
12 21 1
12 29 1
12 31 1
12 32 1
12 34 1
12 35 1
12 37 1
12 38 1
12 41 1
12 49 1
12 54 1
12 55 1
12 57 1
12 59 1
12 64 1
13 22 1
13 23 1
13 24 1
13 29 1
13 33 1
13 39 1
13 42 1
13 43 1
13 44 1
13 48 1
13 53 1
13 58 1
13 60 1
13 61 1
13 62 1
14 15 1
14 16 1
14 20 1
14 21 1
14 22 1
14 26 1
14 31 1
14 36 1
14 42 1
14 43 1
14 44 1
14 49 1
14 51 1
14 59 1
14 60 1
14 63 1
14 64 1
15 17 1
15 23 1
15 25 1
15 27 1
15 29 1
15 31 1
15 35 1
15 41 1
15 46 1
15 47 1
15 48 1
15 50 1
15 52 1
15 54 1
15 58 1
15 61 1
16 18 1
16 24 1
16 26 1
16 30 1
16 32 1
16 34 1
16 35 1
16 37 1
16 39 1
16 40 1
16 48 1
16 50 1
16 56 1
16 57 1
16 58 1
16 62 1
17 19 1
17 20 1
17 28 1
17 30 1
17 32 1
17 33 1
17 36 1
17 37 1
17 39 1
17 44 1
17 45 1
17 53 1
17 55 1
17 57 1
17 59 1
17 61 1
18 19 1
18 21 1
18 25 1
18 27 1
18 29 1
18 33 1
18 38 1
18 43 1
18 45 1
18 47 1
18 49 1
18 51 1
18 52 1
18 53 1
18 55 1
18 62 1
19 22 1
19 23 1
19 24 1
19 28 1
19 34 1
19 38 1
19 40 1
19 41 1
19 42 1
19 46 1
19 54 1
19 56 1
19 60 1
19 63 1
19 64 1
20 29 1
20 34 1
20 38 1
20 41 1
20 43 1
20 47 1
20 48 1
20 53 1
20 56 1
20 57 1
20 62 1
20 64 1
21 28 1
21 33 1
21 39 1
21 40 1
21 44 1
21 46 1
21 47 1
21 54 1
21 57 1
21 58 1
21 61 1
21 63 1
22 27 1
22 32 1
22 37 1
22 45 1
22 46 1
22 48 1
22 49 1
22 52 1
22 55 1
22 56 1
22 58 1
22 59 1
23 26 1
23 30 1
23 35 1
23 40 1
23 44 1
23 47 1
23 49 1
23 51 1
23 55 1
23 57 1
23 62 1
23 64 1
24 25 1
24 31 1
24 36 1
24 41 1
24 43 1
24 45 1
24 47 1
24 50 1
24 57 1
24 59 1
24 61 1
24 63 1
25 34 1
25 37 1
25 39 1
25 44 1
25 48 1
25 49 1
25 53 1
25 54 1
25 59 1
25 60 1
25 64 1
26 33 1
26 37 1
26 38 1
26 41 1
26 45 1
26 46 1
26 53 1
26 54 1
26 55 1
26 60 1
26 61 1
27 32 1
27 35 1
27 36 1
27 38 1
27 39 1
27 42 1
27 57 1
27 61 1
27 62 1
27 63 1
27 64 1
28 31 1
28 35 1
28 37 1
28 43 1
28 48 1
28 49 1
28 50 1
28 51 1
28 58 1
28 60 1
28 62 1
29 30 1
29 36 1
29 37 1
29 40 1
29 45 1
29 46 1
29 50 1
29 51 1
29 56 1
29 60 1
29 63 1
30 38 1
30 39 1
30 42 1
30 43 1
30 49 1
30 52 1
30 54 1
30 58 1
30 59 1
30 63 1
31 38 1
31 39 1
31 40 1
31 42 1
31 45 1
31 52 1
31 53 1
31 55 1
31 56 1
31 62 1
32 40 1
32 41 1
32 43 1
32 44 1
32 47 1
32 50 1
32 51 1
32 53 1
32 54 1
32 60 1
33 35 1
33 36 1
33 41 1
33 42 1
33 48 1
33 50 1
33 52 1
33 56 1
33 59 1
33 64 1
34 35 1
34 36 1
34 42 1
34 44 1
34 46 1
34 51 1
34 52 1
34 55 1
34 58 1
34 61 1
35 43 1
35 45 1
35 53 1
35 56 1
35 59 1
35 60 1
35 63 1
36 40 1
36 49 1
36 54 1
36 55 1
36 58 1
36 60 1
36 62 1
37 42 1
37 47 1
37 52 1
37 61 1
37 62 1
37 63 1
37 64 1
38 44 1
38 48 1
38 50 1
38 58 1
38 59 1
38 60 1
38 61 1
39 41 1
39 46 1
39 51 1
39 55 1
39 56 1
39 60 1
39 64 1
40 48 1
40 52 1
40 53 1
40 59 1
40 61 1
40 64 1
41 49 1
41 51 1
41 52 1
41 58 1
41 62 1
41 63 1
42 47 1
42 50 1
42 51 1
42 53 1
42 54 1
42 57 1
43 46 1
43 52 1
43 54 1
43 55 1
43 61 1
43 64 1
44 45 1
44 50 1
44 52 1
44 56 1
44 62 1
44 63 1
45 51 1
45 54 1
45 57 1
45 58 1
45 64 1
46 50 1
46 53 1
46 57 1
46 59 1
46 62 1
47 55 1
47 56 1
47 58 1
47 59 1
47 60 1
48 51 1
48 54 1
48 55 1
48 57 1
48 63 1
49 50 1
49 53 1
49 56 1
49 57 1
49 61 1
50 55 1
50 64 1
51 59 1
51 61 1
52 57 1
52 60 1
53 58 1
53 63 1
54 56 1
54 62 1
55 63 1
56 61 1
57 60 1
58 64 1
59 62 1
