# NAME: i164.txt
# COMMENT: \f0\fs26 \cf0 #http://www.maths.gla.ac.uk/~es/srgraphs.html\
# These are graphs in the MQLIB instance library [2] all have a 0.912 approximation ratio with respect to GW. For these instances, the optimal cut is also always 2/3 of the total number of edges.
# [2] Iain Dunning, Swati Gupta, and John Silberholz. 2018. What works best when? A systematic evaluation of heuristics for Max-Cut and QUBO. INFORMS Journal on Computing 30, 3 (2018), 608–624.
40 240
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
2 3 1
2 4 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
3 4 1
3 23 1
3 24 1
3 25 1
3 26 1
3 27 1
3 28 1
3 29 1
3 30 1
3 31 1
4 32 1
4 33 1
4 34 1
4 35 1
4 36 1
4 37 1
4 38 1
4 39 1
4 40 1
5 6 1
5 7 1
5 14 1
5 15 1
5 16 1
5 23 1
5 24 1
5 25 1
5 32 1
5 33 1
5 34 1
6 7 1
6 17 1
6 18 1
6 19 1
6 26 1
6 27 1
6 28 1
6 35 1
6 36 1
6 37 1
7 20 1
7 21 1
7 22 1
7 29 1
7 30 1
7 31 1
7 38 1
7 39 1
7 40 1
8 9 1
8 10 1
8 14 1
8 17 1
8 20 1
8 23 1
8 26 1
8 29 1
8 32 1
8 35 1
8 38 1
9 11 1
9 14 1
9 18 1
9 21 1
9 24 1
9 27 1
9 30 1
9 33 1
9 36 1
9 39 1
10 12 1
10 15 1
10 17 1
10 21 1
10 24 1
10 28 1
10 31 1
10 34 1
10 37 1
10 40 1
11 13 1
11 15 1
11 19 1
11 22 1
11 25 1
11 28 1
11 29 1
11 32 1
11 36 1
11 40 1
12 13 1
12 16 1
12 18 1
12 22 1
12 25 1
12 26 1
12 30 1
12 33 1
12 37 1
12 38 1
13 16 1
13 19 1
13 20 1
13 23 1
13 27 1
13 31 1
13 34 1
13 35 1
13 39 1
14 19 1
14 22 1
14 25 1
14 30 1
14 31 1
14 34 1
14 35 1
14 37 1
15 18 1
15 20 1
15 23 1
15 29 1
15 31 1
15 33 1
15 36 1
15 37 1
16 17 1
16 21 1
16 24 1
16 29 1
16 30 1
16 32 1
16 35 1
16 36 1
17 22 1
17 23 1
17 25 1
17 27 1
17 36 1
17 39 1
17 40 1
18 20 1
18 24 1
18 25 1
18 28 1
18 35 1
18 38 1
18 39 1
19 21 1
19 23 1
19 24 1
19 26 1
19 37 1
19 38 1
19 40 1
20 26 1
20 27 1
20 30 1
20 32 1
20 34 1
20 40 1
21 26 1
21 28 1
21 31 1
21 32 1
21 33 1
21 39 1
22 27 1
22 28 1
22 29 1
22 33 1
22 34 1
22 38 1
23 28 1
23 30 1
23 33 1
23 38 1
23 39 1
24 27 1
24 29 1
24 34 1
24 38 1
24 40 1
25 26 1
25 31 1
25 32 1
25 39 1
25 40 1
26 29 1
26 33 1
26 34 1
26 36 1
27 31 1
27 32 1
27 33 1
27 37 1
28 30 1
28 32 1
28 34 1
28 35 1
29 35 1
29 37 1
29 39 1
30 36 1
30 37 1
30 40 1
31 35 1
31 36 1
31 38 1
32 37 1
32 38 1
33 35 1
33 40 1
34 36 1
34 39 1
35 40 1
36 38 1
37 39 1
